"Incident ID","Incident Date",State,"City Or County",Address,"Business/Location Name","Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2741819,"October 28, 2023",Massachusetts,Worcester,"486 Chandler St","Worcester State University",1,1,0,0,0,N/A
2741317,"October 27, 2023",Maryland,Baltimore,"2201 Presstman St","Carver Vocational-Technical High School",0,1,0,2,5,N/A
2741290,"October 27, 2023",Maryland,Edgewood,"2415 Willoughby Beach Rd","Edgewood High School",0,0,0,0,1,N/A
2741256,"October 27, 2023",Wisconsin,Madison,"2222 E Washington Ave, Madison","Madison East High School",0,0,0,0,1,N/A
2740874,"October 27, 2023",Utah,Logan,"162 W 100 S","Logan High School",0,0,0,0,1,N/A
2741579,"October 27, 2023",Texas,"Port Neches","1401 Merriman St","Port Neches-Groves High School",0,0,0,0,1,N/A
2742361,"October 27, 2023",California,"South Gate","5225 Tweedy Blvd","Legacy High School",0,0,0,0,0,N/A
2740206,"October 26, 2023","North Carolina","Haw River","3400 S NC-119","Southeast Alamance High School",0,0,0,0,0,N/A
2740227,"October 26, 2023",Tennessee,Nashville,"1150 Hunters Ln","Hunters Lane High School",0,0,0,0,1,N/A
2740089,"October 26, 2023",Virginia,"Virginia Beach","1700 Dahlia Dr","Green Run High School",0,0,0,0,1,N/A
2740473,"October 26, 2023",California,"South Gate","5225 Tweedy Blvd","Legacy High School",0,0,0,1,1,N/A
2741346,"October 26, 2023",Vermont,Montpelier,"Home Farm Way and E Montpelier Rd",N/A,0,0,0,0,0,N/A
2740236,"October 25, 2023",Tennessee,Somerville,"13470 TN-59","Fayette-Ware High School",0,0,0,0,1,N/A
2738207,"October 25, 2023",Ohio,Cincinnati,"3280 River Rd","Riverside Academy",1,1,0,0,0,N/A
2737967,"October 25, 2023",Minnesota,"Minneapolis (New Hope)","5530 Zealand Ave N","North Education Center",0,0,0,0,0,N/A
2740517,"October 25, 2023",Texas,"San Antonio","13011 Kyle Seale Pkwy","Louis D Brandeis High School",0,0,0,0,1,N/A
2738950,"October 25, 2023",Louisiana,Shreveport,"9000 Walker Rd","Southwood High School",0,0,0,0,1,N/A
2737513,"October 24, 2023",Florida,Miami,"9600 SW 107th Ave","Atlantis Academy Miami",0,0,0,0,1,N/A
2737448,"October 24, 2023",Kansas,Wichita,"2100 W 55th St S","Campus High School",0,0,0,0,1,N/A
2740014,"October 24, 2023","South Carolina","North Charleston","2263 Otranto Rd","Deer Park Middle School",0,0,0,0,0,N/A
2737320,"October 24, 2023",Pennsylvania,Mckeesport,"1960 Eden Park Blvd","McKeesport Area Senior High School",0,0,0,0,1,N/A
2737997,"October 24, 2023",Minnesota,"Saint Paul (Roseville)","17855 Common Rd","Roseville High School",0,0,0,0,0,N/A
2737982,"October 24, 2023",Texas,Pasadena,"1002 Fairmont Pkwy","V.W. Miller Intermediate School",0,0,0,0,1,N/A
2737855,"October 24, 2023",Arkansas,Springdale,"2811 W Huntsville Ave","Central Junior High School",0,0,0,0,1,N/A
2737052,"October 24, 2023","South Carolina",Anderson,"806 Pearman Dairy Rd","Westside High School",0,0,0,0,1,N/A
2737423,"October 24, 2023",Kentucky,Franklin,"400 S College St","Franklin-Simpson County High School",0,0,0,0,1,N/A
2738935,"October 24, 2023",Florida,Miami,"10855 SW 72nd St","Atlantis Academy - Miami LIFE Program",0,0,0,0,1,N/A
2737554,"October 24, 2023",Maryland,"Gwynn Oak (Woodlawn)","1600 Langford Rd","Edmondson Heights Elementary School",0,1,0,0,0,N/A
2736556,"October 23, 2023",Maryland,Bethesda,"6400 Rock Spring Dr","Walter Johnson High School",0,0,0,0,1,N/A
2736706,"October 23, 2023",Wisconsin,Germantown,"N118 W15860 Williams Dr","Kennedy Middle School",0,0,1,0,0,N/A
2737535,"October 20, 2023",Nevada,"Las Vegas","1650 Silver Hawk Ave","Silverado High School",0,0,0,0,1,N/A
2734302,"October 20, 2023","North Carolina",Boonville,"2516 Longtown Rd","Starmount High School",0,0,0,0,1,N/A
2736558,"October 20, 2023",Georgia,Atlanta,"700 Beckwith St SW","Clark University Atlanta",0,1,0,0,0,N/A
2734591,"October 20, 2023",Florida,Tampa,"13912 Nine Eagles Dr","Farnell Middle School",1,0,0,0,0,N/A
2734544,"October 19, 2023",Georgia,Waynesboro,"356 Southside Dr","Burke County Middle School",0,0,0,0,0,N/A
2734518,"October 19, 2023",Indiana,Evansville,"2319 Stringtown Rd","Academy for Innovative Studies Diamond",0,0,0,0,1,N/A
2733877,"October 19, 2023",Connecticut,Newton,"3 Primrose St","Newtown High School",0,0,0,0,1,N/A
2733807,"October 19, 2023",Michigan,"Harper Woods","20225 Beaconsfield St","Harper Woods High School",0,0,0,0,0,N/A
2734135,"October 19, 2023",Washington,Vancouver,"14300 NE 18th St","Evergreen High School",0,0,0,0,1,N/A
2733122,"October 18, 2023",Kentucky,Louisville,"3510 Goldsmith Ln","Seneca High School",0,0,0,0,1,N/A
2733985,"October 18, 2023",Kentucky,Florence,"7056 Burlington Pike","Boone County High School",0,0,0,0,1,N/A
2732138,"October 17, 2023",Tennessee,Nashville,"3150 McGavock Pike","McGavock High School",0,0,0,0,1,N/A
2732104,"October 17, 2023","North Carolina","Hope Mills","5301 Celebration Dr","Gray's Creek High School",0,0,0,0,1,N/A
2733592,"October 17, 2023",California,Stanford,"50-28 Palm Dr","Stanford University Arboretum",0,1,0,0,1,N/A
2732816,"October 17, 2023",Georgia,Evans,"4550 Cox Rd","Evans High School",0,0,0,0,1,N/A
2741087,"October 16, 2023",Arkansas,Springdale,"101 S Pleasant St","Springdale High School",0,0,0,0,1,N/A
2732041,"October 16, 2023",Washington,Wapato,"W C St and N Wasco Ave",N/A,0,0,0,0,0,N/A
2732607,"October 16, 2023",California,Adelanto,"15620 Joshua Rd","Adelanto High School",0,0,0,0,1,N/A
2730430,"October 15, 2023",Texas,Denton,"815 Cross Timber St","Fred Moore High School",1,1,0,0,2,N/A
2731875,"October 15, 2023",Missouri,"Saint Louis (Kirkwood)","11287 Manchester Rd","North Kirkwood Middle School",0,0,0,0,1,N/A
2730696,"October 15, 2023",Mississippi,Jackson,"1400 Valley St","University Pointe",1,0,0,0,2,N/A
2730357,"October 13, 2023",Florida,Tampa,"9401 N Blvd","Chamberlain High School",0,0,0,0,1,N/A
2731228,"October 12, 2023",Indiana,Newburgh,"3344 IN-261","Castle High School",0,0,0,0,0,N/A
2729556,"October 12, 2023","New York",Brooklyn,"2900 Bedford Ave","Brooklyn College",0,0,0,0,1,N/A
2728085,"October 11, 2023",Illinois,Chicago,"3151 W Walnut St","Beidler Elementary School",0,0,0,0,0,N/A
2728105,"October 11, 2023",Maryland,Baltimore,"900 Druid Hill Ave","Joseph C Briscoe School",0,0,0,0,1,N/A
2727805,"October 11, 2023","North Carolina",Albemarle,"311 Park Ridge Rd","Albemarle High School",0,0,0,0,1,N/A
2729086,"October 11, 2023",California,Bakersfield,"1241 G St","Bakersfield High School",0,0,0,0,4,N/A
2727655,"October 11, 2023",Nevada,Henderson,"460 N Arroyo Grande Blvd","Green Valley High School",0,0,0,0,1,N/A
2728317,"October 11, 2023",Georgia,Commerce,"1435 Hoods Mill Rd","East Jackson Comprehensive High School",0,0,0,0,1,N/A
2728346,"October 11, 2023",Texas,"Fort Worth (Forest Hill)","4200 Dorsey St","Sellars Elementary",1,0,0,0,0,N/A
2728888,"October 11, 2023","Rhode Island",Providence,"152 Springfield St","DelSesto Middle School",0,0,0,0,0,N/A
2727089,"October 10, 2023","South Carolina",Darlington,"100 Magnolia St","Darlington County Adult Education",1,0,0,0,0,N/A
2727042,"October 10, 2023",Missouri,"Poplar Bluff","3209 Oak Grove Rd","Poplar Bluff High School",0,0,0,0,1,N/A
2729540,"October 9, 2023",Maryland,"Sparrows Point","7400 North Point Rd","Sparrows Point High School",0,0,0,0,1,N/A
2726613,"October 9, 2023",Ohio,Columbus,"417 S Weyant Ave","Eastmoor Academy",0,0,0,0,1,N/A
2726417,"October 9, 2023","North Carolina",Hendersonville,"1909 Four Seasons Blvd",McDonald's,1,0,0,0,1,N/A
2725639,"October 7, 2023",Maryland,Bowie,"Henry Cir","Bowie State University",0,2,0,0,0,N/A
2725375,"October 6, 2023","North Carolina",Statesville,"474 N Center St","Statesville High School",0,0,0,0,1,N/A
2733642,"October 6, 2023",Louisiana,Thibodaux,"1355 Tiger Dr","Thibodaux High Stadium",0,0,0,0,1,N/A
2725580,"October 6, 2023",Ohio,Whitehouse,"5967 Finzel Rd","Anthony Wayne High School",0,0,0,0,1,N/A
2725231,"October 6, 2023","New York","New York (Manhattan)","850 10th Ave","Independence High School",0,0,0,0,2,N/A
2729873,"October 6, 2023",Michigan,Ypsilanti,"2095 Packard St","Ypsilanti Community High School",0,0,0,0,1,N/A
2725139,"October 6, 2023",Michigan,"Oak Park","13701 Oak Park Blvd","Oak Park High School",0,2,0,0,0,N/A
2724881,"October 6, 2023",Maryland,"Glen Burnie","7550 Baltimore Annapolis Blvd","Glen Burnie High School",0,0,0,0,1,N/A
2724911,"October 5, 2023",Tennessee,Nashville,"1800 Stratford Ave","Stratford High School",0,0,0,0,1,N/A
2724125,"October 5, 2023",Texas,Cibolo,"1300 FM 1103","Byron P Steele High School",0,0,0,0,1,N/A
2724075,"October 5, 2023","New Mexico",Albuquerque,"6701 Fortuna Rd NW","West Mesa High School",0,0,0,0,2,N/A
2723145,"October 4, 2023","North Carolina",Greensboro,"Odell Pl","Greensboro College",0,0,0,0,0,N/A
2723032,"October 4, 2023",Washington,Seattle,"400 23rd Ave","Garfield High School",0,0,0,0,0,N/A
2723198,"October 4, 2023",Minnesota,"Saint Paul","740 Rose Ave W","Como Park Senior High",0,0,0,0,1,N/A
2722987,"October 4, 2023",Florida,"North Port","2700 Panacea Blvd","Woodland Middle School",0,0,0,0,1,N/A
