,Incident ID,Incident Date,State,City Or County,Address,Business/Location Name,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,lat,lon
0,2713018,2023-09-22,North Carolina,Rocky Mount,991 S Winstead Ave,Winstead Avenue Elementary,0,0,0,0,0,,35.9423833,-77.7956949
1,2712953,2023-09-22,Tennessee,Nashville,3150 McGavock Pike,McGavock High School,0,0,0,0,1,,36.1622767,-86.7742984
2,2712398,2023-09-21,Alabama,Anniston,4401 Saks Rd,Saks High School,0,0,0,0,1,,33.6624824,-85.8283224
3,2712502,2023-09-21,Florida,Milton,5445 King Arthurs Way,Avalon Middle School,0,0,0,0,2,,30.6324149,-87.0396881
4,2711513,2023-09-20,Maryland,Hyattsville (Landover),6501 Columbia Park Rd,Fairmont Heights High School,0,0,0,0,1,,,
5,2712509,2023-09-20,Alabama,Tuscaloosa,300 Patriot Pw,Hillcrest High School,0,0,0,0,1,,33.2095614,-87.5675258
6,2712553,2023-09-19,Pennsylvania,Du Bois (Dubois),425 Orient Ave,DuBois Area Senior High School,0,0,0,0,1,,41.1153371,-78.7746056
7,2710743,2023-09-18,Mississippi,Jackson,2400 Robinson St,Provine High School,0,0,0,0,1,,32.2998686,-90.1830408
8,2709682,2023-09-18,Illinois,Belleville,4063 Frank Scott Pkwy W,Belleville West High School,0,0,0,0,1,,38.5135805,-89.9841627
9,2709386,2023-09-18,Maryland,Columbia,9410 Kilimanjaro Rd,Oakland Mills High School,0,0,0,0,1,,39.2156213,-76.8582049
10,2709689,2023-09-18,Texas,San Antonio,4427 Chandler Rd,Jubilee Academy,0,0,0,0,1,,29.4246002,-98.4951405
11,2710080,2023-09-18,Georgia,Elberton,1108 Athens Tech Dr,Elbert County Middle School,0,0,0,0,1,,34.1112226,-82.8670839
12,2711746,2023-09-18,Massachusetts,Worcester,22 Waverly St,Worcester Alternative School,0,0,0,0,1,,42.2625621,-71.8018877
13,2709933,2023-09-17,Kentucky,Frankfort,400 E Main St,Kentucky State University,0,0,0,0,1,,38.2009055,-84.8732836
14,2708850,2023-09-16,Indiana,Muncie,1401 W Neely Ave,Ball State University,0,0,0,0,0,,40.1936892,-85.3865271
15,2708435,2023-09-15,North Carolina,Elkin,135 Old Virginia Rd,Elkin Elementary School,0,0,0,0,0,,36.264818500000004,-80.84776715501519
16,2707831,2023-09-15,California,Banning,100 W Westward Ave,Banning High School,0,0,0,0,1,,33.9255685,-116.875289
17,2707880,2023-09-15,Illinois,Country Club Hills,17401 Pulaski Rd,Hillcrest High School,1,0,0,0,0,,41.5680898,-87.7203257
18,2708531,2023-09-15,Kansas,Kansas City,2501 Minnesota Ave,Wyandotte High School,0,0,0,0,0,,39.1134562,-94.626497
